1_gram,count
头,1113
後,1106
复,1106
版,1104
受,1095
丨,1086
红,1085
鎂,1084
抱,1079
胸,1078
蔓,1078
霸,1077
姜,1076
阿,1069
上,1069
膝,1062
咀,1062
越,1062
庭,1059
胞,1059
虫,1059
初,1058
具,1056
酶,1053
蜈,1051
攝,1051
驱,1049
洞,1044
柚,1043
玉,1039
收,1038
慕,1037
冬,1037
济,1031
蚣,1029
陽,1026
嗽,1014
苗,1010
官,1003
黛,996
空,993
苦,992
間,991
温,990
協,984
屑,980
落,977
錠,977
筋,976
卫,975
蔻,971
帕,967
膽,965
泰,964
马,963
裤,963
音,961
諾,958
呵,957
佩,954
叶,952
暢,948
耐,945
彈,944
其,940
罐,934
伤,933
陳,926
病,925
降,925
电,921
肺,917
助,916
興,911
贝,911
丶,910
嘴,908
丿,906
字,904
营,904
椰,904
茄,899
頸,897
棕,891
秘,891
亞,886
綜,882
參,882
襪,882
鵑,880
縮,879
酮,878
刮,870
寳,867
肽,862
嫩,859
癌,856
黎,853
世,851
兔,849
乛,848
齡,846
菜,844
紗,843
御,841
喘,841
菊,839
国,838
玻,836
芯,835
橄,835
假,834
减,834
夾,834
境,827
幽,821
東,819
桂,814
入,808
張,806
微,805
每,801
過,799
外,798
炭,792
資,787
热,786
連,786
螺,786
券,785
欖,784
蠟,784
野,781
廣,778
擦,777
頓,776
晚,776
尼,775
造,775
媚,774
医,763
完,761
抑,758
格,752
孢,746
所,746
衍,745
網,742
兩,739
板,739
藏,738
胡,737
赞,736
至,736
真,734
净,728
那,723
酢,721
粧,720
八,719
相,717
刺,713
奈,713
翹,713
万,711
达,709
模,707
掃,705
厚,704
來,702
蓉,701
趣,700
千,699
妇,698
诗,695
鎖,694
州,692
背,689
現,689
走,686
蓝,678
庄,678
話,677
漢,677
脈,676
表,676
運,675
菁,673
麵,670
蔘,669
气,667
焗,667
池,666
唯,665
肩,665
夏,665
腩,664
制,663
鼾,663
肠,662
奢,660
燙,659
輔,658
別,658
土,655
鮮,653
情,652
休,652
线,651
盞,649
粥,649
鐘,649
软,646
鬆,644
癢,641
昔,640
补,640
症,639
栏,639
先,635
店,634
厠,631
輪,631
斧,630
内,630
末,630
养,629
娜,628
菲,624
藤,621
功,619
不,616
哥,615
瘟,613
鹿,612
里,611
儀,611
梨,609
嚼,608
泳,606
紐,604
春,604
腕,602
蛙,602
臻,601
廓,599
庵,598
床,597
脾,595
料,595
態,590
尊,586
紓,583
開,582
机,578
夢,577
颜,572
常,571
瀉,571
追,565
延,562
蟎,562
親,561
罗,560
葛,560
第,560
汽,556
测,555
宜,554
佐,549
瞬,548
切,548
聲,547
呼,547
塑,546
迪,543
硏,541
早,540
矽,539
事,539
鯊,537
單,537
文,535
漁,533
脚,528
珂,528
靜,525
非,524
屋,523
蝦,521
藿,521
垫,521
顆,519
枫,519
賞,518
綫,515
櫻,510
昆,509
雨,509
注,508
殼,508
跟,507
脑,507
接,507
龙,506
优,506
硫,505
見,504
丽,503
澤,501
碌,500
游,499
焦,499
區,498
韌,498
晶,498
愈,497
跌,496
蓬,496
簽,496
廿,495
纳,490
紡,488
種,487
均,486
冲,485
魔,484
乙,484
节,483
树,481
爆,481
帮,480
垢,479
产,477
鑽,477
撫,476
嬌,474
潄,468
氛,465
旗,462
繃,460
俄,457
疮,457
價,456
鋼,456
采,455
撲,451
镜,450
圈,450
缷,450
堅,450
剪,449
芦,448
壯,448
玛,447
鳴,443
數,443
叉,443
逆,442
依,440
恢,439
隐,439
鸡,439
薏,437
煉,437
台,436
圓,435
史,433
肚,433
妊,430
獨,430
含,430
誕,429
筒,425
灑,425
磁,424
採,424
室,424
哮,423
荟,422
碎,421
建,421
拜,420
瑤,419
条,419
蜆,419
導,418
斷,416
穀,416
取,414
權,412
娠,411
动,411
師,411
参,410
尻,410
掉,410
會,409
醣,408
计,406
鉗,405
若,403
瀟,403
刨,402
芳,402
漿,400
滅,399
盐,399
推,399
異,399
蔥,398
卜,398
妈,396
枕,395
滲,394
賦,393
试,390
蘿,390
腫,389
氟,388
莲,388
岡,387
衡,384
進,384
燃,384
捲,383
摺,382
鱷,382
话,380
柴,379
限,379
胭,379
纽,379
桑,376
船,376
震,375
资,375
鹼,374
芪,374
薯,373
囗,373
谷,372
茸,371
令,371
貨,369
宗,368
亲,367
辅,367
胱,366
酣,366
言,366
扶,365
饮,364
灣,364
干,363
奥,362
番,361
脸,361
放,360
出,360
黴,359
铁,359
周,359
芭,358
斗,354
壬,354
莪,353
蕉,352
倩,352
胎,352
云,352
长,351
酪,351
穴,348
关,348
尔,348
秋,347
傳,346
碗,346
经,343
压,343
莉,342
羽,341
睛,341
呢,341
贈,340
班,339
捧,339
腐,338
武,338
茵,337
折,337
个,336
象,335
须,333
複,333
景,333
冼,332
熨,332
蒜,329
坐,329
恵,329
滿,328
质,327
饼,327
居,326
戈,326
儲,326
佛,325
蕙,325
變,324
瘀,324
壳,323
槍,322
九,321
军,320
蝨,319
撤,318
伊,317
拖,316
統,316
敢,316
漬,315
實,313
磺,313
永,313
学,312
启,311
億,311
诺,310
腿,310
浸,309
富,308
乌,307
厕,307
拾,306
唐,306
麴,306
腺,306
組,304
吕,303
粟,303
后,302
悦,302
笔,300
江,300
肯,298
阴,298
侖,298
蔔,297
姆,296
猛,296
臟,296
托,295
近,295
踝,295
對,295
邁,295
塵,294
閃,293
弓,293
臂,292
腋,292
尸,290
醋,290
舌,289
碳,289
城,288
奄,286
創,286
离,285
屁,285
疗,285
麦,285
硬,285
苓,284
硒,284
姑,283
锌,282
榴,282
市,282
鬼,279
處,278
蒂,277
嶺,277
停,276
傘,274
嫂,273
抺,273
验,273
典,271
以,270
盤,269
絕,269
封,268
赋,268
积,268
值,268
寬,265
酰,264
箍,264
烟,264
壽,261
寜,261
備,261
珀,260
哈,259
壁,258
榮,257
轻,256
季,256
飘,256
梘,255
蚬,255
窝,253
據,253
獸,251
烧,250
葵,250
費,250
遊,249
群,248
類,248
龜,248
蝶,247
伦,247
凤,246
嗓,245
术,245
訂,244
枣,242
預,242
臨,242
肾,241
吳,241
嘔,241
準,240
辣,239
藝,238
矯,238
薇,238
糀,236
腥,236
傲,236
占,235
集,234
满,233
款,233
為,233
攜,233
是,233
貴,232
鴻,232
颈,232
辛,231
张,231
鰵,231
垃,231
撕,229
弟,229
醒,228
濤,228
錐,227
堤,227
凉,227
隨,227
搶,226
匹,225
半,225
莫,224
啟,224
鬍,224
纹,223
朗,222
鞭,222
狀,220
未,219
陪,219
圾,218
商,218
怪,217
莊,217
河,216
痣,216
珊,215
少,215
錢,214
島,214
阶,214
癣,214
朋,214
腹,213
馏,213
鷹,213
份,213
桶,212
妙,212
燈,212
失,211
糠,211
盾,211
椒,211
蕃,210
蓋,209
纤,209
陈,209
澡,208
椎,208
姫,207
兄,206
柑,206
逹,204
享,204
专,203
嫡,202
榄,202
腮,202
座,201
号,201
瀛,201
薊,201
瑯,201
晕,200
懷,199
污,198
琺,198
裂,198
极,197
肪,196
到,196
缝,196
織,196
伯,195
时,195
輝,194
險,194
杨,194
葯,194
醉,193
壹,193
鉀,192
紧,190
橘,190
绿,189
澎,189
麝,189
氯,189
騰,188
溢,187
洒,187
茉,187
替,187
蒼,187
检,187
荳,186
員,185
滾,185
枝,184
艦,184
芽,184
镁,183
偉,181
展,181
芹,179
蕁,179
朵,179
过,179
左,179
狂,179
箘,178
姿,178
飯,177
璃,177
務,177
胰,177
起,177
腱,176
結,176
苏,176
厘,175
什,175
瑶,174
疼,174
柳,173
狮,173
步,173
胜,171
鷄,171
園,171
顺,171
簡,170
赤,170
叔,169
痒,169
尤,168
娇,168
唑,168
翼,167
滕,167
蔬,167
剛,167
糕,167
蛀,167
笨,167
核,166
镇,165
妳,165
熬,165
銅,165
慶,165
咬,164
沛,164
燥,164
烯,164
焕,164
兴,164
轉,163
姸,162
胆,162
秒,162
醬,162
带,162
晴,162
樟,161
韩,161
漏,161
臀,160
息,159
旺,159
緣,159
冈,158
竇,158
首,157
鼠,157
扁,157
胳,157
趾,156
逍,156
衰,156
把,156
犀,155
臥,154
应,154
與,154
车,153
箭,153
礼,153
釉,153
朮,152
劵,152
韵,152
杞,151
坡,151
婕,151
頂,151
喚,151
蟻,151
哺,151
戶,150
語,150
豚,150
啞,150
胚,150
歸,149
主,149
娃,149
倉,149
哂,148
螨,148
蒙,147
謢,147
場,147
策,147
嗱,146
向,145
蠶,145
亚,145
寕,145
厨,144
盧,143
匱,142
拇,142
开,141
针,141
昇,141
皱,141
汤,140
謝,139
請,139
曜,138
爸,138
寒,138
渠,138
伏,138
磅,138
旁,137
錦,137
唧,137
拔,136
凱,136
门,136
術,136
槲,135
痧,135
漳,135
习,134
舊,134
死,134
汉,134
址,134
歲,134
井,133
覺,133
银,133
缩,133
袜,132
呍,132
毯,132
桌,132
肛,131
鋸,131
褐,131
章,131
股,131
薬,131
絨,130
改,130
名,130
疊,130
曉,129
雄,129
沬,129
蜡,129
踭,129
鋁,128
陸,128
顿,128
勃,127
究,127
浦,127
肘,127
宿,127
鈴,127
蕊,127
渗,127
續,127
沈,126
斛,126
级,126
作,126
蟑,126
姐,125
希,125
胖,125
反,125
创,124
瑩,124
勝,124
查,124
遙,124
浓,124
逢,124
診,124
祖,123
籖,123
氐,123
网,123
鋒,122
浣,122
橡,121
帽,121
签,120
龈,120
荼,120
费,120
层,119
霍,118
仪,118
眾,118
黏,118
搖,117
塚,117
憶,117
患,117
虾,116
选,116
瀏,115
堡,115
齿,115
柠,115
咽,114
亳,113
監,113
壺,113
較,113
傑,112
媒,112
證,112
栗,111
損,111
蠔,111
革,111
禦,111
豬,111
儒,110
泪,110
認,110
聚,110
咪,110
睪,110
售,109
團,109
在,109
权,109
逸,109
週,109
翻,108
茅,107
吞,106
釣,106
瞳,106
臘,106
蒲,106
它,106
共,106
勞,105
午,105
醯,105
索,105
菓,105
餵,105
凈,105
仟,105
皰,104
衭,104
悠,104
溃,103
截,103
射,103
码,102
交,102
疲,102
歌,102
髲,102
韱,101
際,101
彼,101
猫,101
擁,100
幹,100
蚤,100
唔,100
櫚,99
陀,99
泵,99
菠,99
疡,99
弱,99
凰,99
睿,98
啦,98
荃,98
磚,98
憲,98
来,97
顔,97
暇,97
纯,97
嗮,96
贅,96
点,96
艷,95
苹,95
遲,95
爐,95
阪,95
最,95
妹,95
澄,94
螂,94
冶,94
酚,94
留,93
魅,93
曰,93
槽,93
鄒,92
駱,92
脆,92
鲨,92
如,91
額,91
阻,90
视,90
揚,90
夹,90
樋,89
昌,89
绵,89
銳,89
炫,89
缓,89
醛,89
蓟,89
社,89
邦,89
飾,88
苺,88
讚,88
陶,88
界,87
軸,87
束,87
冻,87
候,87
墨,87
坦,86
魯,86
催,86
拋,86
脣,86
赫,86
還,86
帝,85
迭,85
烫,85
擴,84
櫃,84
哩,84
譽,84
蛾,84
灸,84
苔,83
调,83
买,83
府,82
尖,82
由,82
朝,82
梔,82
腾,82
瓷,82
栢,82
鱈,81
义,81
细,80
擊,80
硝,80
芒,80
颗,80
归,80
躍,80
证,80
鮑,80
蓓,80
褔,80
硅,79
潰,79
扣,79
薩,79
扇,79
劲,79
虱,79
枱,79
派,78
琵,78
鍋,78
丰,78
抚,78
连,78
幻,78
盆,78
嘜,78
凯,78
庫,77
介,77
樸,77
晳,77
韦,77
挺,77
村,77
佰,77
扭,77
拌,77
架,77
戰,76
匠,76
瘍,76
梁,75
敌,75
桿,75
疱,75
批,75
咙,74
圣,74
簿,74
掛,74
进,74
今,74
记,74
鷓,74
袖,74
纱,73
禁,73
望,73
譜,73
帖,73
招,73
琶,73
菇,73
聯,72
漯,72
芥,72
供,72
絹,72
汀,72
紮,71
挪,71
萎,71
间,71
购,71
盏,71
慰,71
蘊,71
东,71
伸,71
穩,70
右,70
枪,70
拍,70
弹,70
鳯,70
鳥,70
啤,70
校,70
鵝,69
栓,69
凄,69
慮,69
喼,69
脹,69
洱,69
皙,68
鈉,68
吹,68
鴣,68
丙,68
芮,67
叻,67
她,67
曱,67
宏,67
塘,67
蝸,67
觀,67
材,67
混,67
插,66
业,66
短,66
顯,66
緒,66
鉑,66
抵,66
辰,66
粹,65
姖,65
佬,65
甙,65
乖,65
妃,65
亨,65
戴,65
寇,64
矿,64
睾,64
卧,63
匮,63
价,63
琉,63
嚴,63
樣,63
報,62
銼,62
盘,62
示,62
伟,62
孩,62
邊,62
龟,62
航,62
疏,62
韋,62
杀,62
琳,62
戀,62
酯,61
鏈,61
耀,61
嗚,61
衫,61
琪,61
賀,61
潇,61
劃,61
紛,60
民,60
谜,60
蘚,60
幾,60
阳,60
己,60
豪,60
螞,59
烈,59
碟,59
霓,59
看,59
囇,59
禾,59
當,59
津,59
糧,58
额,58
淦,58
瑜,58
宠,58
鲜,58
综,58
賽,58
槳,58
登,58
圖,57
柯,57
圍,57
淺,57
迹,57
萨,57
泊,57
氫,57
律,57
被,56
静,56
潮,56
苯,56
幣,56
换,56
熙,56
於,56
桔,56
膀,56
籃,56
芋,56
环,56
粗,55
須,55
錫,55
竉,55
烤,55
晾,55
佑,55
芷,55
戲,55
沱,55
割,55
萌,55
茂,54
梵,54
紀,54
蔗,54
斤,54
灌,54
埔,54
沿,54
教,54
蝴,54
扑,54
附,53
甴,53
族,53
守,53
祿,53
攻,53
肿,53
繽,53
见,53
將,53
懶,53
吐,52
裸,52
駝,52
夕,52
单,52
釋,52
粘,51
甦,51
楽,51
伞,51
矫,51
廯,51
掌,51
賓,51
茲,51
挫,51
泽,51
怯,51
決,51
溜,51
壮,51
岛,51
塗,50
涂,50
运,50
蒡,50
煮,50
锭,50
异,50
萝,50
鹰,50
瑚,50
燉,50
牡,50
煲,50
佘,49
瞼,49
柄,49
遥,49
澱,49
績,49
处,49
毋,49
漫,49
任,49
匙,49
榨,48
街,48
溂,48
崗,48
种,48
楂,48
觸,48
考,48
酥,48
評,48
苷,48
剋,48
蓖,47
屬,47
義,47
促,47
疥,47
姨,47
炸,47
煤,47
糙,47
榭,47
椿,47
淳,47
瀨,47
诞,47
诜,46
艳,46
寸,46
倒,46
龄,46
箕,46
筲,46
翘,46
辽,46
喂,46
粕,46
棧,46
鐡,46
藓,45
忌,45
储,45
缐,45
汙,45
碱,45
寡,45
遜,45
站,45
旦,45
鲁,45
淒,45
庒,44
甸,44
君,44
务,44
泻,44
綻,44
領,44
虑,44
农,44
迅,44
鞍,44
玲,43
慧,43
贵,43
挑,43
冇,43
設,43
敬,43
照,43
殿,43
脏,43
輸,42
浆,42
脉,42
銷,42
您,42
穿,42
町,42
徳,42
闭,42
鎭,42
搭,42
钾,42
结,42
憂,42
联,42
黒,42
株,41
屏,41
奔,41
暑,41
薦,41
涮,41
别,41
蛭,41
緹,41
毕,41
杰,41
矖,41
烷,40
传,40
纪,40
潛,40
頁,40
纺,40
纎,40
乃,40
巨,40
绷,40
转,40
客,40
彪,40
側,40
瓦,40
茯,39
夷,39
賴,39
庤,39
題,39
坚,39
歡,39
票,39
肖,39
悍,39
鳄,39
峰,39
餘,39
褥,39
嘖,38
繩,38
鸪,38
鹧,38
伽,38
綳,38
只,38
跡,38
鏠,38
付,38
轮,38
搽,38
鄭,38
断,38
省,38
豹,38
軒,38
挖,38
痠,38
炒,37
綽,37
吻,37
痤,37
痾,37
豔,37
翠,37
笠,37
馥,37
剔,37
迎,37
約,37
終,37
牠,37
契,37
技,37
増,37
湾,37
範,37
麹,36
引,36
菸,36
或,36
伐,36
志,36
釫,36
沉,36
餸,36
椅,36
爺,36
状,36
勺,35
廉,35
了,35
奴,35
彌,35
篷,35
銹,35
妣,35
要,35
师,35
財,35
琦,35
鏽,35
葱,35
謎,35
咭,35
描,35
曖,35
禧,35
盬,35
广,34
赛,34
洐,34
钳,34
委,34
淘,34
伴,34
樺,34
縷,34
晨,34
渙,34
衝,34
滤,34
蛟,34
負,34
瘉,33
盖,33
又,33
院,33
循,33
鍊,33
萍,33
辉,33
鄉,33
韧,33
仲,33
顧,33
檀,32
羌,32
塾,32
勇,32
凸,32
很,32
牧,32
礎,32
弘,32
啊,32
問,32
貳,32
濶,32
餌,32
鴨,32
泛,32
毐,32
尹,32
鮭,32
娘,31
歧,31
忻,31
滙,31
蒟,31
硼,31
袍,31
摸,31
舍,31
芍,31
蒻,31
像,31
萱,31
氾,31
会,31
炉,31
住,31
砭,31
蒿,31
钢,31
狼,31
钠,31
霖,31
紳,31
荔,30
沁,30
崩,30
摄,30
坑,30
滚,30
驼,30
劉,30
拳,30
書,30
备,30
萡,30
舞,30
鬱,30
庶,30
怀,30
涌,30
做,30
澀,29
覆,29
吧,29
两,29
螯,29
棠,29
煎,29
脐,29
搏,29
閉,29
屎,29
妻,29
頑,29
尋,29
関,29
宋,29
郎,29
程,29
柱,29
灛,29
貫,28
摇,28
跑,28
潻,28
察,28
组,28
兌,28
岩,28
杖,28
錳,28
恐,28
恆,28
喑,28
蛎,28
遼,28
爵,28
屯,28
枯,28
差,27
齢,27
莹,27
呀,27
琴,27
矛,27
願,27
祈,27
涑,27
棘,27
紥,27
场,27
孝,27
柞,27
需,27
鉄,27
报,27
澈,27
疾,27
就,27
暫,27
枚,27
跳,27
樓,27
秤,26
吾,26
么,26
弄,26
瀘,26
变,26
众,26
匯,26
区,26
耶,26
躁,26
申,26
頻,26
统,26
畅,26
論,26
丘,26
货,26
语,26
難,25
隻,25
苣,25
且,25
等,25
岭,25
釘,25
齊,25
徐,25
啖,25
賬,25
缺,25
酱,25
葆,25
韻,25
镊,25
锋,25
繨,25
铜,25
獎,25
鑼,25
找,25
鍵,25
也,25
现,25
枸,25
樱,25
廊,25
抛,25
想,24
算,24
屙,24
畫,24
亏,24
陣,24
仿,24
嚟,24
佗,24
梦,24
覚,24
晓,24
玄,24
频,24
覇,24
铂,24
旭,24
塊,24
告,24
軀,24
寿,24
壶,24
岐,24
吋,24
癸,24
刚,24
哇,24
溪,24
书,24
麈,24
墩,24
聰,24
鎢,24
鶴,24
盎,24
狐,24
吴,24
讀,23
閱,23
骆,23
痺,23
舖,23
驚,23
麩,23
爪,23
孫,23
酊,23
移,23
豉,23
突,23
氢,23
饅,23
沒,23
俐,23
喵,23
鑷,23
牽,23
赠,23
钻,23
螢,23
态,23
琥,23
饍,23
稀,23
锅,23
繭,23
葩,23
埋,23
撈,23
播,23
犬,23
笛,23
杂,22
聘,22
珞,22
仑,22
荐,22
猪,22
圆,22
浩,22
寛,22
睇,22
捫,22
溼,22
兜,22
渔,22
溝,22
偶,22
寄,22
惊,22
脷,22
鈦,22
霞,22
尺,22
鞘,22
雌,22
请,22
赏,22
置,22
瀬,22
鉻,22
障,22
伶,22
钱,22
帳,22
谱,21
柿,21
荨,21
例,21
填,21
钟,21
繪,21
扬,21
炼,21
廠,21
此,21
齖,21
畢,21
唤,21
疵,21
併,21
