1_gram,count
水,101199
牙,100323
巾,88083
生,85063
膏,82376
洗,82356
紙,78217
髮,76579
口,76341
護,71479
露,71363
素,70911
濕,61724
面,57184
維,56578
油,56506
防,56410
罩,53729
美,53003
潔,51642
寶,46898
眼,42487
理,40813
益,40125
粉,39982
樂,39897
兒,39593
精,37968
液,37817
膜,37550
白,36768
安,36762
舒,36625
高,35881
膚,35549
頭,34030
菌,33703
奶,33415
手,31971
健,31914
藥,31674
曬,31063
特,30722
痛,30629
丸,29865
刷,29567
保,29259
他,29188
人,28499
花,27790
霜,27271
力,26807
雅,26778
褲,26554
衛,26386
貼,26384
潤,25809
肌,25774
命,25643
士,24959
浴,24619
止,24112
清,24062
乳,23549
糖,23186
感,23146
沐,22502
裝,22374
棉,22365
適,22290
滴,22248
康,21992
妝,21907
片,21906
氏,21759
品,21700
草,21531
必,21176
膠,20960
加,20611
之,20270
靈,20008
惠,19623
脫,19494
敏,19180
棒,18727
衣,18498
線,18215
嬰,17947
活,17934
染,17917
墊,16902
唇,16737
黑,16576
華,16400
臣,16392
化,16241
噴,16072
林,15960
日,15950
福,15742
消,15405
茶,14849
童,14818
敦,14685
佳,14563
金,14542
屈,14529
達,14464
幸,14390
酸,14382
絲,14358
營,14344
本,14279
測,14227
鼻,14061
大,13845
霧,13832
用,13520
睡,13459
甲,13042
一,13033
體,13014
黃,13010
倍,12958
血,12854
風,12842
秀,12757
堂,12460
而,12426
多,12383
卸,12383
汗,12372
心,12353
楓,12325
鈣,12042
傷,12020
毛,12016
蟲,11969
泡,11924
熱,11865
劑,11793
巴,11744
拉,11614
食,11601
蚊,11455
抗,11337
曼,11306
魚,11125
爽,11111
雷,11057
小,11016
施,10952
蛋,10939
卡,10785
道,10777
王,10766
咳,10680
香,10677
機,10519
快,10426
強,10408
瘡,10298
電,10243
套,10178
酒,10091
方,10074
斯,10065
效,10020
得,10010
研,9892
皮,9863
海,9825
疤,9821
去,9791
樹,9767
果,9628
動,9585
家,9582
及,9557
布,9524
柔,9494
色,9452
肝,9361
養,9319
漱,9301
牛,9289
速,8987
新,8876
味,8873
原,8858
男,8852
妥,8801
全,8785
仁,8776
包,8746
透,8648
亮,8643
百,8596
無,8592
正,8576
雞,8520
喜,8499
克,8491
粒,8490
牌,8407
身,8386
補,8241
子,8219
能,8176
奇,8133
寧,8108
孕,8090
李,8034
胃,8010
利,7910
德,7800
念,7776
物,7755
发,7736
骨,7675
個,7556
天,7534
雙,7523
修,7435
橙,7364
內,7356
冒,7331
珠,7329
暗,7298
飲,7207
試,7202
痘,7184
喉,7103
除,7065
思,6999
散,6973
元,6968
凝,6955
尿,6919
毒,6818
京,6801
毫,6757
配,6748
女,6729
醫,6728
三,6642
合,6638
淨,6636
紅,6628
芝,6593
慈,6566
黄,6565
行,6544
氣,6457
善,6446
底,6436
和,6430
升,6302
極,6296
然,6229
米,6228
麗,6196
軟,6179
形,6173
定,6143
维,6133
廁,6119
炎,6100
檢,6069
貝,5995
痰,5978
皇,5939
五,5915
古,5882
型,5871
妮,5853
耳,5822
怡,5816
存,5798
萬,5748
鏡,5720
救,5654
通,5646
便,5634
隱,5602
絡,5599
威,5597
疹,5554
芬,5541
倫,5540
成,5470
固,5449
治,5392
都,5382
雪,5336
飛,5315
凡,5263
护,5239
角,5233
療,5155
驅,5149
質,5124
旅,5111
七,5103
隆,5081
指,5067
蘭,5044
立,5009
田,4991
產,4981
雀,4950
詩,4910
滋,4874
巢,4869
丹,4859
壓,4833
眉,4813
儿,4802
馬,4776
光,4766
脂,4758
薄,4746
司,4737
培,4730
菴,4699
專,4698
卓,4694
蜜,4666
優,4633
退,4579
器,4572
學,4558
撒,4548
印,4541
充,4528
密,4515
恩,4496
虎,4447
腳,4385
流,4381
暖,4378
龍,4344
幼,4319
易,4304
明,4304
各,4291
溫,4277
位,4273
條,4271
剃,4271
刀,4265
纖,4204
部,4200
蒸,4176
艾,4133
中,4122
葡,4114
痕,4096
晒,4076
萄,4062
婷,4050
老,4043
母,4024
羅,4014
潘,4011
碧,4008
列,4004
順,4000
冠,3991
鹽,3989
豆,3978
源,3976
磨,3960
愛,3943
比,3929
節,3925
十,3922
筆,3920
國,3920
鬚,3916
太,3909
關,3908
酵,3888
深,3881
添,3844
砂,3808
莓,3784
好,3777
喇,3693
藍,3681
蘆,3663
叭,3655
計,3645
濟,3634
控,3628
澳,3600
胺,3585
森,3577
超,3564
盒,3564
習,3533
同,3529
搓,3526
葉,3496
齒,3494
綿,3492
烏,3488
朱,3480
宝,3423
荷,3409
標,3395
長,3387
肤,3381
木,3371
祛,3366
莎,3349
輕,3345
足,3336
餅,3329
醇,3319
青,3303
私,3295
緻,3285
沙,3282
可,3281
呂,3277
抹,3225
工,3224
夜,3219
薈,3204
仔,3201
啡,3176
層,3161
納,3160
睫,3156
星,3154
药,3154
豐,3152
纸,3144
咖,3137
余,3136
歐,3122
腔,3115
製,3113
紫,3092
根,3091
褪,3089
免,3084
純,3046
激,3036
冰,3018
杜,3016
欣,2993
瑕,2988
遮,2986
沫,2983
鐵,2972
川,2968
滑,2968
顏,2963
驗,2947
齦,2944
囊,2936
吸,2924
幫,2912
性,2911
管,2910
薑,2905
泉,2905
萊,2902
腸,2897
宮,2891
夫,2889
級,2888
緊,2876
衞,2872
乾,2871
婦,2863
羊,2858
波,2855
摩,2835
雲,2816
沖,2812
仙,2806
湿,2804
目,2804
良,2798
袋,2791
斑,2790
萃,2789
有,2785
鞋,2783
涼,2774
公,2760
腦,2737
眠,2722
叮,2708
瑪,2695
竹,2686
四,2685
吉,2674
即,2670
瓶,2664
枇,2663
避,2661
痔,2659
喱,2658
送,2655
灰,2654
洁,2650
啫,2635
山,2632
疫,2630
回,2628
杷,2619
綠,2613
縫,2613
久,2611
度,2609
碼,2595
西,2594
双,2594
肥,2589
零,2578
蜂,2565
月,2558
钙,2554
服,2528
英,2514
泥,2507
路,2501
乐,2499
積,2462
神,2454
淚,2438
塞,2426
麥,2419
經,2410
络,2401
火,2386
燕,2386
減,2375
皂,2339
何,2329
博,2327
藻,2317
信,2315
檸,2303
熊,2277
尚,2258
贴,2252
迷,2248
解,2247
濃,2246
浪,2245
洛,2239
漂,2236
鱼,2235
盈,2230
淡,2226
煥,2226
疣,2220
濾,2216
探,2215
你,2208
復,2201
飞,2200
石,2186
餐,2181
珍,2150
暈,2139
鋅,2134
润,2129
球,2124
楊,2106
棗,2104
南,2103
氧,2102
銀,2101
按,2091
地,2084
自,2075
打,2070
娥,2069
甘,2066
二,2043
盛,2033
發,2032
房,2016
孔,2005
智,2001
婴,1999
蓮,1983
持,1982
檬,1962
媽,1954
年,1953
胶,1951
號,1947
猴,1932
瓜,1932
因,1932
使,1931
針,1929
箱,1887
調,1883
廚,1881
癬,1870
风,1865
餾,1859
購,1848
平,1841
卷,1835
友,1812
貓,1811
前,1805
卵,1803
增,1801
妆,1795
宫,1787
仕,1780
珮,1778
雜,1775
拿,1764
腎,1737
欧,1730
買,1728
殺,1726
影,1708
嘉,1700
段,1697
甜,1696
莱,1694
霉,1685
爱,1683
選,1678
皺,1676
髪,1675
帶,1672
期,1652
樽,1649
体,1638
分,1635
狗,1633
細,1626
怕,1625
梅,1619
湯,1617
脱,1592
洲,1575
溶,1567
臉,1563
姬,1558
癒,1557
勁,1556
普,1544
燒,1543
式,1541
尾,1526
塔,1525
梳,1525
下,1520
贊,1515
意,1509
容,1508
換,1506
玫,1503
瘦,1503
嚨,1500
低,1494
致,1488
急,1487
捷,1486
瑰,1486
支,1485
臭,1483
緩,1482
凍,1476
軍,1471
代,1469
曲,1463
鎮,1460
宣,1456
宁,1455
欄,1451
酷,1450
玩,1450
熟,1448
坊,1443
糊,1441
煙,1434
提,1433
喷,1432
陰,1430
重,1428
膳,1427
抽,1425
隔,1424
华,1419
彩,1419
悅,1414
飄,1401
兰,1400
杯,1397
肉,1397
基,1390
獅,1389
直,1386
丝,1385
離,1382
者,1381
骼,1375
装,1374
量,1366
整,1362
六,1362
環,1355
蘋,1353
灵,1353
視,1350
法,1350
漾,1346
北,1346
件,1344
爾,1344
孖,1337
麻,1337
氨,1327
旋,1323
排,1323
寵,1320
汁,1305
農,1305
柏,1303
痱,1302
籽,1287
港,1286
桃,1283
禮,1277
系,1276
强,1273
雾,1269
門,1265
棄,1264
淋,1263
巧,1261
藜,1258
業,1253
礦,1248
更,1246
時,1245
應,1245
冷,1243
芙,1243
敷,1240
再,1236
蛇,1236
杏,1234
鳳,1233
适,1230
腰,1228
敵,1226
科,1224
薰,1223
袪,1220
蘇,1215
窩,1212
賢,1211
瑞,1209
育,1208
析,1205
我,1204
洋,1202
韓,1201
奧,1196
車,1195
記,1183
碘,1180
階,1180
途,1178
破,1178
紋,1176
知,1169
籤,1168
蹟,1162
聖,1159
癀,1158
磷,1156
戒,1152
标,1150
點,1144
蕾,1143
確,1134
妍,1132
松,1129
植,1128
剂,1123
无,1118
次,1117
丁,1117
